Compound	Occurrences
(hydrotris(3-mesityl)pyrazolylborate)cu(tetrahydrofuran)	1
(hydroxy(tosyloxy)iodo)benzene	219
(hydroxycyclopentadienyl)diruthenium bridging hydride	2
(i-bu2al)2o	1
(i-c2h7)2nh	2
(i-c3h6)n(c2h5)2	3
(i-c3h7)(ferrocenyl)p	1
(i-c3h7)2nh2+chn4	2
(i-c3h7)mgx	1
(i-c3h7)nh	1
(i-c3h7)sb(c2h5)2	14
(i-pent2(c6h3))2(c3h2n2))pdcl2((c5h4n)cl)	11
(i-pr(n)tbu)2mg.2licl	6
(i-pr)2n	1
(i-pr)2n=c=n(i-pr)2	2
(i-pr)2net2	1
(i-pr)2net3	1
(i-pr)2nh	2
(i-pr)2nh2*chn4	3
(i-pr)2nmgbr	8
(i-pr)2npcl2	1
(i-pr)2nznet2li	2
(i-pr)3nh	1
(i-pr)3sicl	1
(i-pr)3siotf	4
(i-pr)cc(i-pr)	1
(i-pr)net	1
(i-pr2n)2bcl	3
(i-propyloxy)-{tris[2-hydroxy-2-phenylethyl]amine} tiiv	2
(i-prpcp)irh2	1
(ibu)3al	1
(icy)cuot-bu	14
(imes)(pph3)cl2ru(3-phenylindenylid-1-ene)	1
(imes)agcl	32
(imes)cucl	13
(imes)pcy3cl2ru=chph	5
(imes)pd(allyl)cl	4
(imidazol-2-ylidine ligand)pd(1,3-divinyl-me4-disiloxane)	1
(ind)ir(cod)	1
(ind)rucl(pph3)2	12
(indene)(1,5-cyclooctene)rucl	1
(indenyl)2vx	1
(iodo)(1-benzyl-3-benzyl-kappac2-imidazolylidene)((sa)-4-phenyl-4,5-dihydro-3h-dinaphthophosphepine)platinum	6
(iodo)(1-ethyl-3-benzyl-kappac2-imidazolylidene)((sa)-4-phenyl-4,5-dihydro-3h-dinaphthophosphepine)platinum(ii)	1
(iodomethyl)silane	1
(iodomethyl)tri-n-butylstannane	1
(iodomethyl)trimethylsilane	3
(iodomethyl)triphenylphosphonium iodide	5
(iodomethyl)zinc iodide	1
(ipr)au(ntf2)	73
(ipr)aucl	25
(ipr)cucl	33
(ipr)cuf	12
(ipr)net	1
(ipr)ni(dmfu)2	2
(ipr)ni(pi-allyl)cl	40
(ipr)pd(cinnanmyl)cl	14
(ipr)pt(dvtms)	19
(ipr2,6-(2,6-ipr2c6h3n=cme)2c5h3n)fe(n2)2	23
(ipr2n)2cucnli2	1
(iprme2si)2se	1
(iprnhc)cu-sime2ph	1
(ipro)ti(.mu.:.eta.1,.eta.1-ocme2ch2pph2)rhcl	2
(ipro)ti[osi(otbu)3]3	1
(iprpdi)fe(n2)2	16
(iprpnn)cocl2	27
(iprpnnet)febr2	1
(iprpnnh)febr2	5
(iprpnnme)febr2	1
(iprpnp)coch2sime3	13
(ir(och3)(c8h12))2	1
(isomerization)	92
(isop)4ti	1
(isopropoxy)phenylsilane	1
(isopropylamino)(tetraphenyl)cyclopentadienyl ru(co)2cl	8
(jacobsen's cr(iii) schiff base)*sbf6	3
(johnphos)au(ch3cn)sbf6	15
(johnphos)aume	77
(k(1+))2lt;(ph3p)3(ph2p)ru2h4gt;(2-)*2c6h14o3	2
(k-18-crown-6 ether) cyanide	21
(k-hmds)2	5
(k18-crown-6)pf6	1
(khso3)2no	1
(ko3)2no (dmf/kh2po4)	1
(l)-serine	3
(l)-tarb-no2	24
(l)-valine tert-butyl ester	1
(li(et2o)2.8)(b(c6f5)4)	3
(li(et2o)2.8)b(c6f5)4	8
(lithium)2(cn)(phenyl)2cuprate	3
(lt;c6h5c(cf3)2ogt;2s(c6h5)2	2
(m)-h(c10h6n2(c5h11o)2)950(c15h9n2p(c8h9)2)50c7h7	1
(m,s,s)-i-pr-sprix	5
(m-pyrabim){pdcl2(3-chloropyridine)}2	4
(me)2tin(phenylthiolate)2	4
(me)cgpph	84
(me2n)2asch2as(nme2)2	1
(me2n)2c=nh2n3	15
(me2n)3p=nh	12
(me2n)3p=s	6
(me2n)3ticl	2
(me2po)2hpt(me2poh)	3
(me2si(c5me4)2)ndch(tms)2	13
(me2si(c5me4)2)smch(tms)2	3
(me2si)2nli	1
(me2sicp''2ubu)2o*2thf	1
(me2sio)2p(=o)h	1
(me3c6h2)2p(h)ch2ch2b(h)(c6f5)2	7
(me3n)3p	2
(me3nh)(clo4)	1
(me3si)2n	1
(me3si)2nbr	9
(me3si)2nli	4
(me3si)2nna	3
(me3si)3sik	2
(me3si)3sili	8
(me3si)nna	1
(me3si2)s	1
(me3sio)2(n(sime3)2)mon*b(c6f5)3	1
(me3sio)3p=o	1
(me3sio)reo3	2
(me3sn)2	1
(me3tacn)pdcl2	4
(me4n)2s	1
(me4n)[co(l)]*2h2o (l = o-phenylenebis(n'-methyloxamidate)	13
(me4n)lt;(dmf)3vfe3s4cl3gt;*2dmf	1
(me4n)o2	1
(me5-cyclopentadienyl)(4-n-pyrrolidinyl-pyridinyl)fe(2+)	1
(mecn)2pdcl2	1
(mecn)5cu(sbf6)2	14
(mecn)5cu[sbf6]2	15
(meimes)cucl	4
(menc3h3n)(menc3h3ncoc4h8n)pdi2	16
(meo)2bf	3
(meo)3bf4	1
(meo)3tr(+)bf4(-)	2
(meoc9h5nch(oh)c7h11n(chch2)ch2(3,5-(cf3)2c6h3))cl	3
(mer-[(s,s)-1,5-dimethyl-2,4-bis(4-phenyl-1,3-oxazolin-2-yl)benzene(1-)]ru(co)cl)2(zncl2)	20
(merrifield resin)-o-(m-c6h4sh)	1
(merrifield resin)-pph2-cr(co)2(eta6-c6h6)	6
(mes)2s(1+)*sbcl6(1-)	1
(mes2c3h5n2)cl2ru=chph	1
(mesityl)2bf or (mesityl)2boipr	1
(mesityl)mgbr*licl	3
(meso)-1,2-bis(phenylsulfinyl)ethane	3
(meso-tetrakis(2,6-dibromophenyl)porphinato)iron(iii) chloride	4
(meso-tetrakis(2,6-dichlorophenyl)porphinato)(oxo)manganese(iv)	1
(meso-tetraphenylporphyrinato)zinc(ii)	1
(meso2)2co	1
(mespdi)come	16
(methoxy(methyl)carbene)pentacarbonylchromium(0)	2
(methoxycarbonyl)sulfenyl chloride	1
(methoxycarbonylsulfamoyl)-triethyl-ammonium hydroxide	20
(methoxymethyl)-triphenylphosphonium chloride	8
(methoxymethyl)pyrrolidinogt;cuprate	1
(methoxymethylcarbene)pentacarbonyl tungsten	9
(methoxymethylidene)dimethylammonium methyl sulfate	18
(methyl benzoate)chromium tricarbonyl	9
(methyl)2sno	4
(methyl-d3)triphenylphosphonium iodide	1
(methyldiphenylphosphine)copper(i) chloride	1
(methylthio)methylpyrrolidinegt;cuprate	1
(mg(ch(mesitylncch3)2))2	1
(mh4)2so4	1
(mn-tmpyp)cl5	2
(momse)2	1
(mor-dalphos)	21
(morpholinomethyl)polystyrene	3
(mu-all)2{pd(1,3-bis(2,6-diisopropylphenyl)-1,3-dihydro-2h-imidazol-2-ylidene)}2	6
(mu-chloro)(mu-methylene)lt;bis(cyclopentadienyl)titaniumgt;dimethylaluminum	1
(mu-pyrabim){pd(allyl)cl}2	2
(mu-tau2:tau2-peroxo)dicopper(ii)	2
(mu3,eta2,eta3,eta5-acenaphthylene)ru(co)7	8
(mu3,eta2,eta3,eta5-acenaphthylene)ru3(co)7	25
(mu3,eta2:eta3:eta5-acenaphthalene)ru3(co)7	17
(mu3;eta2;eta3;eta5-acenaphthylene)ru3(co)7	12
(n(c4h9)4)clo4	1
(n,n'-bis(2,6-(i-pr)2c6h3)imidazol-2-ylidene)aucl	1
(n,n'-bis(2,6-di(i-pr)phenyl)imidazol-2-ylidene)pd(allyl)cl	23
(n,n'-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)cufp	6
(n,n'-bis(2,6-diisopropylphenyl)imidazol-2-ylidene)cuotbu	36
(n,n'-bis(2,6-diisopropylphenyl)imidazolin-2-ylidene)aucl	5
(n,n'-bis(2-(tert-butylthio-kappas)benzylidene)-1,2-cyclohexyldiamino-kappan,kappan')dichlororuthenium(ii)	7
(n,n'-bis(2-phenylethyl)-2,6-pyridinedicarboxamidato)(.eta.1-acetonitrile)palladium(ii)	1
(n,n'-bis(3,5-di-tert-butylsalicylidene)-1,2-cyclohexanediamine)co(ii)	1
(n,n'-bis(3,5-di-tertbutylsalicylidene)-1,2-trans-diaminoethane)criiicl	31
(n,n'-dicyclohexyl-2h-imidazol-2-ylidene)cucl	13
(n,n'-dimesityl-4,5-dihydro-2h-imidazol-2-ylidene)cucl	2
(n,n'-dimethylimidazolidino)tetramethylguanidinium chloride	4
(n,n'-mes2im-2-yl)ru=chph(pcy3)cl2	1
(n,n'-mes2pyrrolidin-2-yl)ru=chph(pcy3)cl2	1
(n,n'-phenylenebis(3-tert-butylsalicylideneimine))zinc	9
(n,n'e,n,n'e)-n,n'-(ethane-1,2-diylidene)bis-(piperidin-1-amine)	1
(n,n)-diisopropylethylamine	8
(n,n,n',n'-tetramethylethylenediamine)na(.mu.-2,2,6,6-tetramethylpiperidide)(.mu.-tertbutyl)zn(tert-butyl)	1
(n,n,n?,n?-tetramethylethylenediamine)lizn(cis-2,6-dimethylpiperidide)et2	4
(n,n-[2-(2-py)et]2-alpha,alpha-d2-benzyl-amine)2(peroxo)cu2(pf6)2	4
(n,n-diethylaminomethyl)-functionalyzed polystyrene resin	1
(n,n-dimethyl)aminopyridine	2
(n,n-dimethylamino)aniline	8
(n,n-dimethylamino)phosphinodichloridite	1
(n,n-dimethylamino)pyrydine	3
(n,n-dimethylamino)sulfur trifluoride	29
(n,n-dimethylmino)pyridine	1
(n,n?-bis(2,4,6-trimethylphenyl)-4,5-dihydroimidazol-2-ylidene)aucl	41
(n,n?-bis(2,4,6-trimethylphenyl)imidazol-2-ylidene)ag-rp	1
(n,n?-bis-(2,6-diisopropylphenyl)-beta-diketiminate)nb(ntbu)2	1
(n,n?-di-tert-butyl-2,11-diaza[3.3](2,6)pyridinophane)ni(phf)br	3
(n-[2,6-diisopropylphenyl]pivalamidate)tetrakis(dimethylamido)tantalum	27
(n-benzyl)-bis-[2-(pyrid-2-yl)ethyl]amine	2
(n-benzylphenothiazine radical cation)clo4	5
(n-bu)2php polystyrene	6
(n-bu)3p	2
(n-bu)3pse	2
(n-bu)4i	4
(n-bu)4nbr	1
(n-bu)4nf*3h2o	2
(n-bu)4nso4	1
(n-bu)cctms	1
(n-bu)li	1
(n-bu3nh)+o(-)p(o)(oh)2	16
(n-bu4)hso4	4
(n-bu4n)3p2o7	1
(n-bu4n)4h(co)pw11o39	1
(n-bu4n)4h(mn)pw11o39	2
(n-bu4n)4w10o32	42
(n-bu4n)sph	5
(n-buse)2	7
(n-butyl)2sncl2	2
(n-butyl)4ncl	3
(n-butyl)li	13
(n-c18h37-nhc(o)(ch2)2)(me2n-(ch2)2)(2-pyridyl-ch2)n	1
(n-c4h9)4nf	2
(n-c4h9)boso2cf3	2
(n-c4h9)nhso4	1
(n-c4h9)snd	1
(n-c5h9)3snh	1
(n-c8h17)2culi(n-bu3p)	3
(n-heterocyclic carbene)palladium(ii)-br complex	7
(n-hex)4notf	1
(n-hydroxy-2,5-dioxopyrrolidin-3-yl)thio-resin	19
(n-i-pr)babar-phos	1
(n-methylphenylamino)triphenylphosphonium iodide	1
(n-pr)2nli	1
(n-t-bu-perfluorophenylamidate)2-ti-bis(diethylamide)	5
(naphthalene)chromium tricarbonyl	1
(naphthalene)cr(co)3	19
(naphthalene)tricarbonylchromium	5
(nar)(or)2mo(chc(me)2ph)	1
(nav=4.1)	1
(nbd)rh+[(eta6-c6h5)b-(c6h5)3]	1
(nbu(c3h2n2)(2,6-c6h3(ipr)2))rucl2(pcy3)(chph)	1
(nbu)3mgli	48
(nbu)3sn(diisopropylamide)	1
(nbu2s)2cui	1
(nbu4)2[pd2(.mu.-br)2(c6f5)2br2]	5
(nbu4)4w10o32	6
(nbu4)5h2[alpha1-ybp2w17o61]	9
(nbu4)bh4	2
(nbu4n+)2(cu2i4)2?	11
(nc)2c6o2cl2	1
(nc5h3(n2c7h4(ch2)3ch3)2)nibr(1+)*br(1-)=ni(nc5h3(n2c7h4(ch2)3ch3)2)br2	57
(nh3)5runcch3(3+) or	1
(nh3)6ru(2+) or eu(2+)	7
(nh4)-(oscl6)	1
(nh4)2(ce(no3)6)	4
(nh4)2[ce(no3)6]	4
(nh4)2ce(iv)(no3)6	1
(nh4)2ce(no3)2	2
(nh4)2ce(no3)3	1
(nh4)2ce(no3)6	3
(nh4)2ce(no3)6 or meco(dmg)2py(1+)	1
(nh4)2ce(no3)6*2h2o	2
(nh4)2co3	427
(nh4)2hpo4	5
(nh4)2s	146
(nh4)2s2o8	631
(nh4)2so4	2
(nh4)2sx	1
(nh4)2{ce(no3)6}	2
(nh4)3ce(no3)6	4
(nh4)4ce(no3)2	1
(nh4)4ce(so4)4*2h2o	1
(nh4)4ce(so4)4*h2o	3
(nh4)6[mo7o24]*4h2o	110
(nh4)6mo5o24*(h2o)4	1
(nh4)6mo7*4h2o	2
(nh4)6mo7o24	6
(nh4)6mo7o24*4h2o	36
(nh4)so4	1
(nhbu3)2h2p2o7	2
(nhc)(pcy3)cl2ru=chr	5
(nhc4h7c(c6h3(ch3)2)2o)bc6h5(1+)*o3scf3(1-)=[(nhc4h7c(c6h3(ch3)2)2o)bc6h5](o3scf3)	8
(nitrosonium)(guanidinium)2(pw12o40)	3
(nixantphos)pd(4-c6h4cn)(br)	1
(nme2)3ssime3f2	2
(norbornadiene)rucl2(pph3)2	14
(o,o'-biphenylenedioxy)methylaluminium	1
(o-(2,3-(3,5-tbu2-salicylideneamino)2-propionyl)quininato)co	1
(o-(diphenylphosphino)aniline)ru(co)2cl2	18
(o-c6h4-co2ch2)2co	21
(o-c6h4co2ch2)2co	1
(o-oc6h4ch3)3prucl(pph3)2	8
(o-tbu2p-c6h4)nme2	71
(o-tolyl)cc(o-tolyl)	1
(o3sc6h4)(((ch3)2ch)3c6h2)(c6h5)2c3h3n2	13
(oac)2	2
(oc)2clru(c5(c6h4och3)4oocc6h4och3)	36
(oc10h6c10h6o)2ti	2
(octakis(p-tert-butylphenyl)corrolazinato )mn(o)	1
(octakis(p-tert-butylphenyl)corrolazinato3-)mnv(o)	1
(oep)fecl (tpp=octaethylporphyrin)	7
(oh)(c6h4)3p(c6h11)2*h(1+)*bf4(1-)	5
(ohch2ch2s)2	1
(op)mo(n[t-bu]-3,5-me2c6h3)3	5
(oxydi-2,1-phenylene)bis(diphenylphosphine)pd(pi-allyl)cl	14
(p(c6h5)3)2pdcl2	1
(p(c6h5)3)mn(co)5	2
(p(t-bu)2o-biphenyl)auots	3
(p)-h(c10h6n2(c5h11o)2)950(c15h9n2p(c10h7)2)50c7h7	3
(p)-h(c10h6n2(c5h11o)2)950(c15h9n2p(c6h5)2)50c7h7	3
(p)-h(c10h6n2(c5h11o)2)950(c15h9n2p(c8h9)2)50c7h7	9
(p,r,r)-i-pr-sprix	14
(p-br-c6h4)4n(1+.)*sb6(1-)	1
(p-brc6h4)3n(+)sbcl6(-)	1
(p-cf3-c6h4)3p-au-ntf2	19
(p-cf3c6h4)3bicl2	4
(p-cf3c6h4)3pauntf2	30
(p-cf3ph)2o	1
(p-cf3ph)2pauntf2	1
(p-cf3ph)3pauntf2	12
(p-cymene)2ru2cl2(mu-cl)2	2
(p-cymene)[(s,s)-n-tosyl-1,2-diphenylethane-1,2-diamido]ru	2
(p-cymene)cl(pcy3)ru=c=c(ph)2	5
(p-diphenylphosphinopolystyrene)nickel dichloride	4
(p-hydroxyphenyloxy)methyl polystyrene	2
(p-me-benzyl)tributylstannane	2
(p-me-c6h4-i-pr)ru[(s,s)-(-n(ts)-chph-chph-nh-)]	1
(p-mec6h4so3)3fe	26
(p-meoph)3p	8
(p-no2-c6h4-cc)2cu(cn)li2	1
(p-tol)3pauntf2	12
(p-tol)pd-n(2-ph2pc6h4)ch=n'-(2-ph2pc6h4)*pd(p-tol)oh	10
(p-toluenesulphonyl)hydrazine	108
(p-trifluoromethyl)phenylsilane	8
(para-phph)p(cy)2	5
(pbrc6h4)3(1+*)sbcl6(1-)	1
(pcy)3cl2ru=chph(1,3-di-mes-imidazolidine-2-yl)	2
(pcy)3ru(=chph)cl2ch(n(mes)ch2)2	1
(pcy3)(cl)-n,o-prolinate ruthenium benzylidene	5
(pcy3)(cl2)[1,3-bis(2,6-ipr2-c6h3)-2,3-dihydro-1h-imidazole]	1
(pcy3)(h2imes)ru(chph)	5
(pcy3)(im(mes)2)ru=chph	1
(pcy3)2cl2ru(=chseph)	3
(pcy3)2cl2ruchchph2	1
(pcy3)2pd(eta2-o2)	1
(pcy3)2ru=chph	2
(pcy3)2rucl2	1
(pcy3)ru=ch-(2-isopropoxy-4-{(ch2)3c8f17}benzene)cl2	7
(pd((c10h6n2c7h4ch2c6h5)2)(h2o)2)(2+)*2cf3so3(1-)=(pd((c10h6n2c7h4ch2c6h5)2)(h2o)2)(cf3so3)2	14
(pd(iipr)cl2)2	3
(pd(ococf3)2(1,2-bis(diphenylphosphino)ethane))	4
(pdallylcl)2	24
(pdcl2(pph3)2)	1
(pdcl2)0.5(tio2)0.5	11
(pdph3)2cl2	1
(pentafluorophenylcopper)4	2
(pentamethylcp)rucl(pph3)2	25
(pentamethylcyclopentadienyl)(naphthalene)ruthenium(ii) tetrafluoroborate	3
(pentamethylcyclopentadienyl)*rh(oac)2	8
(pentamethylcyclopentadienyl)2ndch(tms)2	4
(pentamethylcyclopentadienyl)2tiiiicl	15
(pentamethylcyclopentadienyl)co(co)i2	149
(pentamethylcyclopentadienyl)rh(.eta.4-hexamethylbenzene)	3
(pentamethylcyclopentadienyl)rhcl[(s,s)-tsdpen]	1
(pentamethylcyclopentadienyl)rucl(cod)	15
(pentamethylcyclopentadienyl)rucl(pph3)2	1
(pet3)2ni[o-(sime2)2-c2b10h10]	2
(pet3)2rhn(sime3)2	2
(ph)2sih2	262
(ph)3li	1
(ph2c3h2n2(c6h4ph)(c6h2ipr3))cu(ot-bu)	13
(ph2cco2me)k	1
(ph2mesi)2nli	1
(ph2pc6h4oc6h4pph2)(4-cyanophenyl)bromopalladium(ii)	2
(ph3)2cubh4	1
(ph3)2pdcl2	46
(ph3)2ppdcl2	1
(ph3)3rhcl	1
(ph3)4pd	4
(ph3as)2pd	2
(ph3o)3p	5
(ph3p)2	1
(ph3p)2(ph2pc6h4)ruh2(1+)k(1+)*c10h8*(et2o)	1
(ph3p)2cubh4	13
(ph3p)2cuclo4*(mecn)2	8
(ph3p)2ncl	2
(ph3p)2nicl2	1
(ph3p)2nn3	1
(ph3p)2pd(ph)(br)	16
(ph3p)2pd(ph)(i)	13
(ph3p)2pdcl	1
(ph3p)2pdcl2	38
(ph3p)4nicl2	2
(ph3p)4p	1
(ph3p)aucl	32
(ph3p)auntf2	15
(ph3p)auobz	7
(ph3p)pd	13
(ph3p)pd(0)	1
(ph3p)pdcl(c3h5)	1
(ph3p)pdcl2	1
(ph3p)rhcl	3
(ph3p)ru(co)h2	2
(ph3pauntf2)2.phme	3
(ph4c4co)2h(mu-h)(co)4ru2	10
(phbrch)2	4
(phch2)2mg*2thf	1
(phch2nme3)2mos4	50
(phch2se)2	11
(phcho)2smi*smi3	3
(phcn)2pdbr2	30
(phco)pdcl((pho)3p)2	1
(phco)pdcl(pph3)2*(ch2cl2)	10
(phco2)2o	1
(phcoo)2o	1
(phen)(ph3p)cu(i)bf4	1
(phen)(ph3p)cu(i)bh4	1
(phen)pd(coome)2	2
(phen)pd(me)cl	23
(phen)pd[bf4]2	1
(phen)pdme	7
(phen)pdme2	14
(phen)pt(me)cl	1
(phenethylsulfinyl)benzene	36
(phenylmethoxy)-n-benzylcarboxamide	1
(phenylsulfonyl)methane	2
(phenylthio)methylpyrrolidine	1
(phio)n	3
(phme2cch2)2cu(cn)li	1
(phme2p)2nicl2	1
(phme2si)cu*licn	4
(pho)2(o)p-o-p(o)(oph)2	1
(pho)2p(o)n3	4
(pho)2pho	17
(pho)2pon2	1
(pho)3p(1+)*cl(1-)	3
(pho)3p*br2	1
(pho)3pau(sbf6)	7
(pho)3pausbf6	8
(pho)3po3	1
(pho)4si	3
(pho)p(o)cl	1
(pho)pon3	1
(pho2)co	1
(phoph)2p2s4	1
(photolysis)	19
(phse)2o	1
(phseo)2	1
(phso2)2	9
(phso2)2s	31
(phso202nf	2
(pi-allyl)(diphosphinecyclobutene)palladium	19
(pin)b-b(dan)	1
(piperidinomethyl)polystyrene	1
(pm,rs,rs)-i-pr-sprix	32
(pmbo)2pn(ipr)2	3
(pmdeta)2k2mg(ch2sime3)4	15
(pme3)2rh(d2o)2*bf4	5
(pnn)fecl2	10
(pnp)pd-ncc6f5	2
(pnpipr)fe(h)(co)bh4	10
(polyallyl)scanduium trifylamide ditriflate	16
(polyisobutylene-pph2)4pd	4
(polymer)-p-c6h4(c6h5)2p=n-n=c(ch)4	5
(polystyrene nanopaticle ((s)-tert-butyl 3-(prop-2-yn-1-yloxy)pyrrolidine-1-carboxylate))-peg	1
(polystyryl)trimethylammonium cyanoborohydride	1
(polystyrylmethyl)-trimethylammonium cyanoborohydride	1
(polystyrylmethyl)-trimethylammonium cyanoborohydride#10;	16
(polystyrylmethyl)trimethylammonium borohydride	15
(polystyrylmethyl)trimethylammonium cyanoborohydride	2
(polystyrylmethyl)trimethylammonium perruthenate	1
(potassium azide)*2(arsenic(iii) oxide)	32
(pp3)pdcl2	1
(pph)3pdcl2	1
(pph2)2nicl2	1
(pph3)(co)4mnc(o)ch3	8
(pph3)(h2imes)(cl2)ru(3-phenyl-1h-inden-1-ylidene)	1
(pph3)2	6
(pph3)2cl2ru=(3-phenylindenylid-1-ene)	7
(pph3)2nibr2	2
(pph3)2pd(oac)2	3
(pph3)2pdcl2	18
(pph3)2re(o)2i	9
(pph3)3coh(n2)	6
(pph3)3cubr	1
(pph3)3n+cr(co)4no-	4
(pph3)3pcl2	1
(pph3)3prcl	1
(pph3)3rhcl	1
(pph3)4	1
(pph3)4pdcl2	1
(pph3)ag(cb11h6br6)	1
(pph3)aucl	11
(pph3)auotf	8
(pph3)pd(0)	1
(pph3)pdcl2	18
(pph3)rhcl	12
(pph3auntf2)2*phch3	5
(pph3cuh)6	4
(pph3p)3rhcl	1
(pph4)2[mn(n)(cn)4]	18
(pphenp-h)ruh	2
(ppn)2ircl6 or cu(otf)2 or fe(phen)2(cn)2 or	1
(pro)2p(o)h	1
(propa-1,2-diene-1-sulfonyl)benzene	1
(prpo2)3	4
(ps)-2-methyl-1-dicylohexylphosphinoferrocene	1
(ps,ps,ps)-tris(2-methylferrocenyl)phosphine	3
(ptbu2(o-diphenyl))aucl	1
(ptt)cono2	1
(ptz)1	26
(py)(pcy3)ir-carbene pf6	3
(py-h)2cecl6	11
(pynp(ipr)2)ir(cod)	8
(pyridin-2-yl)magnesium bromide	1
(pyridine)(ph3sio)3mon	1
(pyridine)co(dimethylglyoxime)2cl	25
(pyridine-2,6-(2,6-ipr2ph)ncch3)rh chloride	3
(pyridine-2,6-dicarboxylate)(hmpa)moo(o2)	6
(pyridine-2-carboxylate)2vo(o2)(h2o)2	1
(pyridine-2-carboxylate)vo(o2)(h2o)2	1
(pyridine-2-carboxylato)aucl2	1
(pyridine-s-)2	2
(pyrolysis)	3
(pyrrolyl)2mo(=chcme2ph)(=n-c6h3-2,6-ipr2)	1
(pyrrolyl)2mo(chcme2ph)(nphipr2)/(r)-(c10h9tbuoh)2	1
(pyrrolyl)2mo(chcme2ph)(nphipr2)/(r)-(c6metbu2oh)2	2
(pyrrolyl)2mo(chcme2ph)(nphipr2)/(s)-(me2c6htbuoh)	4
(pyrs)2	1
(pyse)2	3
(qhq)2phal	1
(qn)2phal	1
(r(fc))-2-{(s(c))-1-n-methyl-n-[bis(4-trifluoromethylphenyl)phosphino]aminoethyl}-1-[(r(p))-(1-naphthyl)phenylphosphino]ferrocene	12
(r(p),r(c),s(fc))-1-(phenyltrifluoromethylphosphino)-2-{1-[3-(1-adamantyl)-1h-pyrazole-1-yl]ethyl}ferrocene	1
(r(p),s(c),s(fc))-1-(phenyltrifluoromethylphosphino)-2-{1-[3-(1-adamantyl)-1h-pyrazole-1-yl]ethyl}ferrocene	1
(r)(+)binal	1
(r),(ar)-(iridium)(p-ch3c6h4)(phc10h6c10h5ochn)2c6h10	7
(r),(r)-taniaphos	1
(r),(s)-josiphos	2
(r)-((1s,2r,4s,5r)-5-ethylquinuclidin-2-yl)(6-methoxyquinolin-4-yl)methanamine	1
(r)-(+)-(6,6'-dimethoxybiphenyl-2,2'-diyl)bis[bis(3,5-di-tert-butylphenyl)phosphine]	7
(r)-(+)-1,1'-binaphthyl-2,2'-diamine	44
(r)-(+)-1,1'-bis(diphenylphosphino)-2,2'-bis(n,n-diisopropylamido)ferrocene	2
(r)-(+)-1-(1-naphthyl)-ethylamine	11
(r)-(+)-1-(2-methoxy-1-naphthyl)isoquinoline-n-oxide	4
(r)-(+)-2,2'-bis(di-p-tolylphosphinyl)-1,1'-binaphthyl	1
(r)-(+)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl	5
(r)-(+)-2,2'-bis(diphenylphosphino)-1,1'-binaphthyl-rucl2	12
(r)-(+)-2,2'-bis(diphenylphosphino)-3,3'-bi(benzo[b]thiophen)	1
(r)-(+)-2,2'-bis(diphenylphosphino)-3,3'-bibenzo[b]thiophene	1
(r)-(+)-2,2?-bis(dip-tolylphosphino)-1,1?-binaphthyl	10
(r)-(+)-2,4-dichloro-6-((2-(diphenylphosphino)-1,1'-binaphthyl-2'-ylimino)methyl)phenol	2
(r)-(+)-2-(dicyclohexylphosphino)-2'-methoxy-1,1'-binaphthyl	15
(r)-(+)-2-(diphenylphosphino)-2?-methoxy-1,1?-binaphthyl	12
(r)-(+)-2-amino-1,1,2-triphenylethanol	9
(r)-(+)-3,3'-bis(trifluoromethanesulfonyl)-2,2'-dihydroxy-1,1'-binaphthalene	9
(r)-(+)-3-undecyn-2-ol	1
(r)-(+)-4-dimethylaminopyrindinyl(pentaphenylcyclo-pentadienyl)iron	6
(r)-(+)-4-pyrrolidinopyrindinyl(pentamethylcyclopentadienyl)iron	12
(r)-(+)-5,5',6,6',7,7',8,8'-octahydro-bi-2-naphthol	59
(r)-(+)-5,5'-bis(diphenylphosphanyl)-1,3,6,8,1',3',6',8'-octahydro-[4,4']bi[2,7-dioxaasindacenyl]	2
(r)-(+)-5,5'-dichloro-6,6'-dimethoxy-2,2'-bis(diphenylphosphino)-1,1'-biphenyl	1
(r)-(+)-bis-1,1'-(5,6,7,8-tetrahydro-3-phenylisoquinoline)-n,n'-dioxide	1
(r)-(+)-hydrocupreidine-5'-(hydrazine-n,n'-di-cbz)	2
(r)-(+)-limonene	3
(r)-(+)-methyl-p-tolylsulfoxide	1
(r)-(+)-n,n'-bis(3h-isobenzofuran-1-ylidene)-1,1'-binaphthyl-2,2'-diamine	1
(r)-(+)-n-(2-hydroxyethyl)-alpha-phenylethylamine	1
(r)-(+)-n-benzyl-n-diphenylphosphino-2-methyl-2-propanesulfinamide	1
(r)-(+)-propylene oxide	1
(r)-(+)-tert-butyl(phenyl)phosphane oxide	1
(r)-(+)-tetrahydro-1-methyl-1h,3h-pyrrolo[1,2-c][1,3,2]oxazaborole	4
(r)-(-)-(3,5-dioxa-4-phospha-cyclohepta[2,1-a;3,4-a']dinaphthalen-4-yl)-dibenzo[b,f]-azepine	37
(r)-(-)-(3,5-dioxa-4-phosphacyclohepta[2,1-a:3,4-a']dinaphthalen-4-yl)diethylamine	1
(r)-(-)-1,1'-binaphthyl	9
(r)-(-)-1,1'-binaphthyl-2,2'-diyl hydrogen phosphate	271
(r)-(-)-2,2,2-trifluoro-1-(9-anthryl)-ethanol	1
(r)-(-)-2-(2-iso-indolinyl)butan-1-ol	1
