Compound	Occurrences	pubchem_isosmiles
1-n-butyl-3-methylimidazolium hexafluorophosphate	449	F[P-](F)(F)(F)(F)F~C(CCC)[N+]1=CN(C=C1)C
1-n-butyl-3-methylimidazolium hydroxide	19	[OH-]~C(CCC)[N+]1=CN(C=C1)C
1-n-butyl-3-methylimidazolium tetrafluoroborate	487	F[B-](F)(F)F~C(CCC)[N+]1=CN(C=C1)C
1-n-decene	7	C=CCCCCCCCC
1-n-diethylaminopentan-3-one methoiodide	1	empty
1-n-heptylbromide	1	C(CCCCCC)Br
1-n-hexylimidazole	3	C(CCCCC)N1C=NC=C1
1-n-pentylpyridinium bromide	1	[Br-]~C(CCCC)[N+]1=CC=CC=C1
1-n-pentyne	3	C#CCCC
1-naphthaldehyde	35	C1(=CC=CC2=CC=CC=C12)C=O
1-nitro-propane	10	[N+](=O)([O-])CCC
1-nitrobutane	1	[N+](=O)([O-])CCCC
1-nitrocyclohexene	1	[N+](=O)([O-])C1=CCCCC1
1-nitrocyclohexylcarbonitrile	1	empty
1-nitroethane	88	[N+](=O)([O-])CC
1-nitrooxy-butane	1	[N+](=O)([O-])OCCCC
1-nitropropane	1	[N+](=O)([O-])CCC
1-nitropyrazole	8	[N+](=O)([O-])N1N=CC=C1
1-nitropyridinium tetrafluoroborate	1	F[B-](F)(F)F~[N+](=O)([O-])[N+]1=CC=CC=C1
1-nitroso-2-hydroxy-naphthalene	1	N(=O)C1=C(C=CC2=CC=CC=C12)O
1-nitrosoindoline	1	N(=O)N1CCC2=CC=CC=C12
1-nonyl alcohol	1	C(CCCCCCCC)O
1-norborn-1-yl-2,2,6,6-tetramethyl-phosphorinane*hbf4	11	empty
1-norbornyl cation	1	empty
1-o-dimethylaminoethyl-ethylenglykol	5	empty
1-octadecylamine	2	C(CCCCCCCCCCCCCCCCC)N
1-octanethiol-protected gold nanoparticles	8	empty
1-octanoic acid	11	C(CCCCCCC)(=O)O
1-octanol	16	C(CCCCCCC)O
1-octene	4	C=CCCCCCC
1-octynyllithium	2	C(#CCCCCCC)[Li]
1-ome-2-nhac-3,4-di-lt;op(3,5-me2-c6h3)gt;-6-o-tbdms-alpha-d-glucopyranosyl-rh+(cod)sbf6-	1	empty
1-ome-2-obz-3,4-di-lt;op(3,5-me2-c6h3)gt;-6-o-bz-alpha-d-glucopyranosyl-rh+(cod)sbf6-	4	empty
1-oxa-2-oxo-3-thia-indolizinium chloride	3	[Cl-]~O=C1OC2=CC=CC=[N+]2S1
1-oxido-1,2-benziodoxol-3(1h)-one	2	[O-]I1OC(C2=C1C=CC=C2)=O
1-oxo-3-carbamoyl-2,2,5,5-tetramethyl-3-pyrrolinium nitrate	1	[N+](=O)([O-])[O-]~O=[N+]1C(C(=CC1(C)C)C(N)=O)(C)C
1-oxo-4-methoxy-2,2,6,6-tetramethylpiperidinium chloride	16	[Cl-]~O=[N+]1C(CC(CC1(C)C)OC)(C)C
1-oxyl-2,2,6,6-tetramethlpiperidin-4-yl benzoate	17	empty
1-oxyl-2,2,6,6-tetramethylpiperidin-4-one	39	ON1C(CC(CC1(C)C)=O)(C)C
1-oxyl-2,2,6,6-tetramethylpiperidin-4-yl acetate	1	C(C)(=O)OC1CC(N(C(C1)(C)C)O)(C)C
1-pentafluorophenyl-2-(eta4-cycloocta-1,5-diene)(tris(((2r,5r)-2,5-diphenylphospholanyl-1kappap,2kappa2p)methyl)amine)rhodium(i)gold(i) tetrafluoroborate	4	empty
1-penten	1	C=CCCC
1-pentynyl-copper	20	C(#CCCC)[Cu]
1-phenyl-1,1,1-trimethoxymethane	1	C1(=CC=CC=C1)C(OC)(OC)OC
1-phenyl-1-propyne	79	C1(=CC=CC=C1)C#CC
1-phenyl-1h-tetrazol-5-yl chloride	2	C1(=CC=CC=C1)N1N=NN=C1Cl
1-phenyl-1h-tetrazole-5-thiol	1	C1(=CC=CC=C1)N1N=NN=C1S
1-phenyl-2,2,2,-trifluorodiazoethane	3	empty
1-phenyl-2-[di(1-adamantyl)phosphanyl]pyrrole	6	C1(=CC=CC=C1)N1C(=CC=C1)P(C12CC3CC(CC(C1)C3)C2)C23CC1CC(CC(C2)C1)C3
1-phenyl-2-aminopropane	1	C1(=CC=CC=C1)CC(C)N
1-phenyl-2-methylethylamine	4	C1(=CC=CC=C1)C(CC)N
1-phenyl-3,3-dimethyl-1-triazene	1	C1(=CC=CC=C1)N=NN(C)C
1-phenyl-3-[(1s,2s)-2-(pyrrolidin-1-yl)cyclohexyl]thiourea	13	C1(=CC=CC=C1)NC(=S)N[C@@H]1[C@H](CCCC1)N1CCCC1
1-phenyl-3-n-butyl propargylic alcohol	1	empty
1-phenyl-4,4-dimethyl-cyclohexadien-(2,5)	2	empty
1-phenyl-ethylamine lt;compound with zncl2gt;	4	empty
1-phenyl-prop-2-yne-1-one	1	C1(=CC=CC=C1)C(C#C)=O
1-phenyl-propan-1-one	1	C1(=CC=CC=C1)C(CC)=O
1-phenylethanol	1	C1(=CC=CC=C1)C(C)O
1-phenylethylamine-copper(ii)	1	[Cu+2]~C1(=CC=CC=C1)C(C)N
1-phenylphospholane-1-oxide	12	C1(=CC=CC=C1)P1(CCCC1)=O
1-phenylphosphoran	3	C1(=CC=CC=C1)[PH4]
1-phosphanorbornadiene-rhodium	3	[Rh]~P12C=CC(=CC1)C2
1-piperazine carboxyaldehyde	5	empty
1-piperidinecarboxaldehyde	1	N1(CCCCC1)C=O
1-piperidinosulfur trifluoride	1	empty
1-pph2-2-[(2-pph2)c6h4]ferrocene	2	empty
1-propanephosphonic acid cyclic anhydride	481	CCCP1(=O)OP(=O)(OP(=O)(O1)CCC)CCC
1-propanethiol	1	C(CC)S
1-propenylpinacolboronate	1	empty
1-propyl acetate	2	C(C)(=O)OCCC
1-propyl-3-methylimidazolium diphenyl(3-sulfonatophenyl)phosphine	2	C1(=CC=CC=C1)P(C1=CC(=CC=C1)S(=O)(=O)[O-])C1=CC=CC=C1~C(CC)[N+]1=CN(C=C1)C
1-pyrrolylborane	2	N1C(=CC=C1)B
1-sulfanyl-2-(dimethylaminomethyl)-3-me3si-benzene-cu(i)	2	empty
1-sulfanyl-3-tert-butyl-6-(pyrrolidinomethyl)benzene-cu(i)	1	empty
1-sulfo-pyridinium betaine	2	empty
1-t-butyl-5-phenylimidazole	1	C(C)(C)(C)N1C=NC=C1C1=CC=CC=C1
1-tert-butyl-1h-tetrazol-5-yl methyl sulfone	1	CS(=O)(=O)C1=NN=NN1C(C)(C)C
1-tert-butyl-2,2,4,4,4-pentakis(dimethylamino)-25,45-catenodi(phosphazene)	41	empty
1-tert-butyl-3-phenylimidazolium triflate	2	[O-]S(=O)(=O)C(F)(F)F~C(C)(C)(C)[N+]1=CN(C=C1)C1=CC=CC=C1
1-tert-butyl-4,4,4-tris(dimethylamino)-2,2-bis[tris(dimethylamino)-phosphoranylidenamino]-2lambda54lambda5-catenadi(phosphazene)	132	empty
1-tert-butyl-4,4,4-tris(dimethylamino)-2,2-bis[tris(dimethylamino)phosphoranylidenamino]-2lambda5,4lambda5-catenadiphosphazenium fluoride	1	empty
1-tert-butyldimethylsiloxy-1-methoxy-ethene	2	O([Si](C)(C)C(C)(C)C)C(=C)OC
1-tert-butylperoxy-1,2-benziodoxol-3(1h)-one	74	C(C)(C)(C)OOI1OC(C2=C1C=CC=C2)=O
1-tms-1-pentyne	1	[Si](C)(C)(C)C#CCCC
1-tosyloxy-1-oxo-1h-1lambda5-benzo[d][1,2]iodoxol-3-one	22	S(=O)(=O)(C1=CC=C(C)C=C1)OI1(OC(C2=C1C=CC=C2)=O)=O
1-trans-cinnamoyl-pyridinium; chloride	1	empty
1-trans-iodo-4-cyclohexyl	7	empty
1-tridecene	1	C=CCCCCCCCCCCC
1-trimethylsilyl-1-hexyne	2	C[Si](C#CCCCC)(C)C
1-trimethylsilyl-1h-tetrazole	1	C[Si](N1N=NN=C1)(C)C
1-triphenylphosphoranylidene -2-propanone	1	C1(=CC=CC=C1)P(=CC(C)=O)(C1=CC=CC=C1)C1=CC=CC=C1
1-triphenylphosphoranylideneethane	1	C1(=CC=CC=C1)P(=CC)(C1=CC=CC=C1)C1=CC=CC=C1
1-{(1r,2r)-2-(dimethylamino)cyclohexyl}-3-cyclohexylthiourea	17	CN([C@H]1[C@@H](CCCC1)NC(=S)NC1CCCCC1)C
1-{(r)-1-[(s)-2-(diphenylphosphino)ferrocenyl]-2-methylpropyl}-2-(diphenylphosphino)imidazole	10	empty
1-{(s)-1-[(r)-2-(diphenylphosphino)ferrocenyl]ethyl}-3-(1-adamantyl)-1h-pyrazole	1	empty
1-{3,5-bis(trifluoromethyl)phenyl}-3-{(1r,2r)-2-(dimethylamino)cyclohexyl}urea	12	FC(C=1C=C(C=C(C1)C(F)(F)F)NC(=O)N[C@H]1[C@@H](CCCC1)N(C)C)(F)F
1-{6-[dibutyl(chloro)stannyl]hexyl}-3-methyl-1h-imidazolium iodide	19	[I-]~C(CCC)[Sn](CCCCCC[NH+]1CN(C=C1)C)(Cl)CCCC
1.)	1	empty
1.) (2-thienyl)cyanocuprate	1	empty
1.) (c2h5)2alcl	1	empty
1.) (r)-1, ar=3,5-xylyl	2	empty
1.) (s)-borane	4	empty
1.) 18-crown-6,ko2	1	empty
1.) 4 a ms	7	empty
1.) abf4	1	empty
1.) aq. acid, 2.) aq. base	3	empty
1.) aq. csco3	1	empty
1.) base	6	empty
1.) c4h9li	6	empty
1.) cii	6	empty
1.) clcl2	1	empty
1.) cocl2	1	empty
1.) csco3	3	empty
1.) cubr-me2s	3	empty
1.) cucn	161	empty
1.) cucn*licl	9	empty
1.) cucn,	5	empty
1.) delta-(r)-1	1	empty
1.) edci	3	empty
1.) fe(pme3)4	2	empty
1.) hydroboration, 2.) modified moffatt oxidation	1	empty
1.) k	19	empty
1.) ldea	1	empty
1.) lhnds	1	empty
1.) licubu	1	empty
1.) meal	1	empty
1.) mpcba	1	empty
1.) nah4	4	empty
1.) naone	1	empty
1.) pt anode	2	empty
1.) rli	4	empty
1.) thermolysis, 2.) oxidation	1	empty
1.0 m hcl/et2o	1	empty
1.15 molau-0.35 molpd/al2o3	1	empty
1.2 pd/c	13	empty
1.2) anion exchange resin (chloride anion form)	1	empty
1.2.3.4-tetrahydro-8-hydroxy-quinoline	18	empty
1.2percent aq. naoh	12	empty
1.3-propanedithiol	1	empty
1.4 molpercent pd/c	1	empty
1.4-dicyano 1-butene	5	empty
1.5 au/tio2	10	empty
1.54h2o*cl2ni	15	empty
1.5c13h17no4*c20h27n3o	7	empty
1.5c32h20o10(6-)*4zn(2+)*o(2-)*16h2o*4c4h8o*3li(1+)	2	empty
1.5c32h21o10(5-)*4zn(2+)*o(2-)*16h2o*4c4h8o*1.5li(1+)	14	empty
10  pd(oh)2/c	10	empty
10  pd-baso4	18	empty
10  platinum on carbon	31	empty
10  rh/c	1	empty
10  sodium amalgam	2	empty
10  wpercent aq. naoh	6	empty
10 cd/pb	25	empty
10 cd/pd	10	empty
10 fecl3*sio2	7	empty
10 lta aerogel	1	empty
10 mass of vanadium doped 3 platinum on charcoal	1	empty
10 mol palladium on carbon	4	empty
10 palladium charcoal	6	empty
10 palladium hydroxide on carbon powder	1	empty
10 palladium hydroxide on charcoal	63	empty
10 palladium on activated carbon	252	empty
10 palladium on activated charcoal	54	empty
10 palladium on active carbon	101	empty
10 palladium on barium sulfate	2	empty
10 palladium on carbon	122	empty
10 palladium on charcoal	24	empty
10 pb/cd	1	empty
10 pd on charcoal	160	empty
10 pd(oh)2 on c	21	empty
10 pd(oh)2 on carbon	20	empty
10 pd(oh)2/c	21	empty
10 pd-baso4	9	empty
10 pd-caco3	4	empty
10 pd/al2o3	1	empty
10 pd/baco3	1	empty
10 pd/c	693	empty
10 pd/c, pd-c	3	empty
10 percent aq. koh	1	empty
10 percent aq. na2co3	1	empty
10 percent cuf*(s)-tolbinap	1	empty
10 percent human plasma	15	empty
10 percent pd	1	empty
10 percent pd/c	22	empty
10 percent pd/c contd. 50 percent water	3	empty
10 percent pd/c contd. 50percent water	2	empty
10 percent pd/c/water	1	empty
10 percent tetrabutylammonium difluorotriphenylsilicate	1	empty
10 percent trifluoroacetic acid	1	empty
10 pto2/c	1	empty
10 rh/c	51	empty
10 ru/c	31	empty
10 silver nitrate adsorbed on silica	1	empty
10 wt  palladium on activated carbon	3	empty
10 wt pd(oh)2 on carbon	1	empty
10 wt platinum on carbon	2	empty
10 wtpercent sn/deal-beta	1	empty
10,11-dihydro-5-[3-(methylamino)propyl]-5h-dibenz(b,f)azepin	42	CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
10,11-dihydrocinchonine	1	CCC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
10-(2,6-dimethylphenyl)isoalloxazine	1	empty
10-4 m rose bengal	1	empty
10-camphorsufonic acid	10	empty
10-camphorsulfonic acid	1	C12(C(=O)CC(CC1)C2(C)C)CS(=O)(=O)O
10-camphorsulfoniuc acid	1	empty
10-crown-6	1	empty
10-csa	1	CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C
10-ethyl-3-methylisoalloxazine-6,8-dicarboxylic acid	1	empty
10-hpode	1	CCCCC/C=C\CC(/C=C/CCCCCCC(=O)O)OO
10-me-9,10-dihydroacridine	3	empty
10-methyl-10h-phenazine-5-carbonyl chloride	1	CN1C2=CC=CC=C2N(C=2C=CC=CC12)C(=O)Cl
10-methyl-9,10-dihydroacridine	22	CN1C=2C=CC=CC2CC2=CC=CC=C12
10-methyl-9,10-dihydroacridine-d2	1	CN1C2=CC=C(C(=C2CC2=CC=CC=C12)[2H])[2H]
10-methyl-9-phenanthrol anion	1	empty
10-methyl-9-phenyl-9,10-dihydroacridine	1	CN1C=2C=CC=CC2C(C2=CC=CC=C12)C1=CC=CC=C1
10-methyl-9-phenyl-9,10-dihydroacridine-d	1	CN1C=2C=CC=C(C2C(C2=CC=CC=C12)C1=CC=CC=C1)[2H]
10-methyl-9-phenylacridinium perchlorate	4	Cl(=O)(=O)(=O)[O-]~C[N+]1=C2C=CC=CC2=C(C2=CC=CC=C12)C1=CC=CC=C1
10-methyl-lt;9-2hgt;-acridiniumiodid	2	empty
10-methylphenothiazine	7	CN1C2=CC=CC=C2SC=2C=CC=CC12
10-molybdo-2-vanadophosphoric acid	16	empty
10-si-5-hydridisiliconate	1	empty
10-undecane-1-ol	8	empty
10.4percent pt	1	empty
100 mmol/l citrate buffer	1	empty
1036 coulombs	2	empty
10b-boric acid	3	empty
10h-dibenzo[b,e][1,4]oxaborinin-10-ol	1	C1=CC=CC=2OC3=C(B(C21)O)C=CC=C3
10h2o*2hna*b4o7	2	empty
10m acid-treated k10 montmorillonite	1	empty
10mol pd/al2o3	1	empty
10percent aibn	1	empty
10percent aq, naoh	1	empty
10percent aq. acoh	14	empty
10percent aq. alkali	3	empty
10percent aq. chloroacetic acid	2	empty
10percent aq. h2so4	1	empty
10percent aq. hcl	27	empty
10percent aq. hpf6	2	empty
10percent aq. k2co3	1	empty
10percent aq. koh	2	empty
10percent aq. na2co3	4	empty
10percent aq. naco3	2	empty
10percent aq. naoh	27	empty
10percent aq. tfa	2	empty
10percent cucn	1	empty
10percent cui	12	empty
10percent hbr	1	empty
10percent hcl	17	empty
10percent hcl-meoh	1	empty
10percent hf	3	empty
10percent hydrochloric acid	1	empty
10percent koh	12	empty
10percent methanolic hcl	4	empty
10percent n2h4	1	empty
10percent naoh	24	empty
10percent nh4so4	1	empty
10percent p/c	2	empty
10percent palladium hydroxide on carbon	1	empty
10percent palladium no carbon	1	empty
10percent palladium on activated coal	1	empty
10percent palladium on carbon	16	empty
10percent palladium on charcoal	3	empty
10percent pd	1	empty
10percent pd on carbon	3	empty
10percent pd on charcoal	1	empty
10percent pd(oh)2 on carbon	1	empty
10percent pd(oh)2-c	2	empty
10percent pd(oh)2/c	23	empty
10percent pd(pph3)4	1	empty
10percent pd-c	35	empty
10percent pd-caco3	1	empty
10percent pd/c	1664	empty
10percent pd/carbon	2	empty
10percent pt-c	1	empty
10percent pt/c	3	empty
10percent pto2	1	empty
10percent pto2*h2o	1	empty
10percent rh/al2o3	2	empty
10percent rh/c	1	empty
10percent rucp(mecn)3pf6	5	empty
10percent tfa	3	empty
10percent tsoh	1	empty
10percentpd/c	11	empty
11	1	empty
11.2percent aq. koh	1	empty
118 coulombs	1	empty
11co	1	empty
11h-benzolt;bgt;fluorene-11-one	4	empty
12	1	empty
12 pd/c	2	empty
12,12-bis[(4s)-4-isopropyl-2-oxazolin-2-yl]tricosane	1	C(C)(C)[C@@H]1N=C(OC1)C(CCCCCCCCCCC)(CCCCCCCCCCC)C=1OC[C@@H](N1)C(C)C
12,13-dihydrocylindrol b	1	empty
12-crown-4	2	C1COCCOCCOCCO1
12-hexadecyl-7,17,22,27-tetraoxa-1,4,10,14-tetraazatricyclolt;12.5.5.54,10gt;nonacosane	1	empty
12-hydroxy-1,10-bis(2,4,6-triisopropyphenyl)-4,5,6,7-tetrahydrodiindeno[7,1-de:1?,7?-fg][1,3,2]dioxaphosphocine 12-oxide	5	empty
12-molybdophosphoric acid hpmo	77	empty
12-molybdophosphoric acid/al/c	1	empty
12-phosphotungstic acid	66	empty
12-tungstophosphoric acid	7	O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~O~P~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]~[W]
12-tungstophosphoric acid/al/c	3	empty
122 coulombs	2	empty
123i sodium iodide	17	empty
125i-nai	2	empty
12c8 antibody	1	empty
12percent aq. naocl	3	empty
12percent naocl	3	empty
13	3	empty
13 pd/c	1	empty
13,17-bis(2-carboxylatoethyl)-3,8-bis[1-hydroxyethyl]-2,7,12,18-tetramethylporphine	2	C(=O)([O-])CCC1=C(C2=CC=3C(=C(C(=CC4=C(C(=C(N4)C=C4C(=C(C(C=C1N2)=N4)CCC(=O)[O-])C)C)C(C)O)N3)C)C(C)O)C
13-crown-6	1	empty
13c-labelled barium carbonate	1	empty
13ch3-sam	3	empty
13co	1	empty
13co2	3	empty
14 pd/c	1	empty
14,28-[1,3-diiminoisoindolinato]phthalocyaninatoiron(iii)	15	empty
14-dioxane	5	empty
14.5 w/w naio4/sio2	1	empty
14percent hf	1	empty
15	10	empty
15 pd/c	19	empty
15 percent citric acid	1	empty
15 wt palladium on carbon	10	empty
15-crown-5	710	C1COCCOCCOCCOCCO1
15-crown-6	4	empty
15-membered macrocycle-stabilized palladium(0) nanoparticle	1	empty
15-methylbenzo-[15-crown-5]	2	empty
15c(pkr001) cells	4	empty
15n potassium nitrate	6	empty
15n-ammonia	39	[15NH3]
15n-ammonium sulfate	1	empty
15n-hydroxylamine	5	empty
15n-hydroxylamine hydrochloride	12	empty
15n-hydroxylamine*hcl	1	empty
15n-nitric oxide	2	empty
15n-phthalimide potassium salt	2	empty
15n1-sodium azide	2	empty
15n2-hyponitrous acid	1	empty
15nh4cl	78	empty
15nh4no3	1	empty
15percent aq. koh	1	empty
15percent aq. naoh	1	empty
15percent aq. nh3	4	empty
15percent aqueous acidic ticl3	6	empty
15percent cpco(co)2	1	empty
15percent hcl	1	empty
15percent hclo4	1	empty
15percent koh	1	empty
15percent pd/c	1	empty
15percent pt black	2	empty
15t-22.4to-s15-1123	3	empty
16-crown-5	5	C1COCCOCCOCCOCCOC1
16-crown-6	1	empty
16-crown-6 ether	1	empty
16-tetraene-17-yl triflate	1	empty
17,20,23-trioxa-1,14,33-triazatricyclolt;12.11.7.127,31gt;tritriaconta-27(33),28,30-trien-2,13-dione	1	empty
17beta-hydroxy-17alpha-methyl-4-androsten-3-one	1	O[C@@]1([C@]2(C)[C@@H](CC1)[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)C
18-crown-16	10	empty
18-crown-4	2	empty
18-crown-5	1	empty
18-crown-6	54	C1COCCOCCOCCOCCOCCO1
18-crown-6 complexed with acetonitrile	19	empty
18-crown-6 cyanide	2	empty
18-crown-6 ether	7318	C1COCCOCCOCCOCCOCCO1
18-crown-6 nitrite	6	empty
18-crown-8	1	empty
18-crown-9	1	empty
18f-acetyl hypofluorite	1	empty
18f-fluoride	4	[18F-]
18o labeled dmso	1	empty
18o-dmso	2	empty
18o-h2o	16	empty
18o-labeled diphenyl sulfoxide	2	empty
18o-labeled phosphorous acid	1	empty
18o-labeled water	19	empty
18o2	16	[18O]=[18O]
18o2 and n2 mixture (1:4)	1	empty
18percent aq. nh4oh	1	empty
18percent oleum	1	empty
1:1 complex of cl- with methylamine	2	empty
1?methyl?2?phenylphenanthro[9,10?d]imidazole	1	empty
1[1?-methyleneimidazole]-3,5-di[1?-methylen-3?-octylimidazolium]benzene di-tetrafluoroborate	1	empty
1c-cpc(bpn')	2	empty
1c-cpc(ct)	1	empty
1c-cpc(th)	3	empty
1h,1'h-2,2'-disulfanediyl-bis-imidazole	1	C1=CN=C(N1)SSC2=NC=CN2
1h,1h,3h-tetrafluoro-1-propanol	17	C(C(C(F)F)(F)F)O
1h-(1,2,3)-triazole	40	N1N=NC=C1
1h-1,2,4-triazol	172	N1N=CN=C1
1h-benzo[d][1,2,3]triazol-1-yl 2-nitrobenzenesulfonate	14	[N+](=O)([O-])C1=C(C=CC=C1)S(=O)(=O)ON1N=NC2=C1C=CC=C2
1h-benzo[d]imidazole	2	N1C=NC2=C1C=CC=C2
1h-benzotriazole-1-carboxaldehyde	1	N1(N=NC2=C1C=CC=C2)C=O
1h-diazabicyclolt;2.2.2gt;octane	1	empty
1h-imidazole	19260	N1C=NC=C1
1h-indene-1,3(2h)-dione	27	C1(CC(C2=CC=CC=C12)=O)=O
1h-indole-2,3-dione-7-carboxylic acid	1	N1C(C(C2=CC=CC(=C12)C(=O)O)=O)=O
1h-indole-5-carbonitrile	1	N1C=CC2=CC(=CC=C12)C#N
1h-pyrrolo[2,3-b]pyridinium substituted-borate	1	empty
1h-pyrrolo[2,3-b]pyridinium substituted-borate salt	4	empty
1h-tetrazole	1875	N1N=NN=C1
1h-tetrazole n,n-diethylammonium salt	4	empty
1h-tetrazolium	3	[NH2+]1N=NN=C1
1m aq. naco3	1	empty
1percent aq. h2so4	1	empty
1percent aq. hcl	4	empty
1percent aq. na2co3	1	empty
1percent aq. naoh	2	empty
1percent au/graphite	2	empty
1percent au/sio2	10	empty
1percent ethanol. hcl	1	empty
1percent na/hg	1	empty
1r,2r-[(1s,2r,4r-2-oh-7,7-me2-bicycloheptyl)ch2so2nh]2c6h10	45	empty
1s,5s,7r-aza-bicyclo[3.3.1]nonan-2-one derivative	2	empty
1st generation grubbs-hoveyda catalyst	23	empty
1x phosphate-buffered saline	3	empty
2	3	empty
2  platinum on carbon	7	empty
2 mol- pd/c	16	empty
2 n aq. csco2	1	empty
2 pd/c	21	empty
2 weight platinum on carbon	1	empty
2 wtpercent of au on tio2	1	empty
2 wtpercent of pd on tio2	11	empty
2',3',4'-trihydroxy acetophenone	9	OC1=C(C=CC(=C1O)O)C(C)=O
2',3',5'-tris-o-(tert-butyldimethylsilyl)cytidine	1	empty
2',3'-dideoxycytidinene	33	C1=C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N
2',3'-dideoxyuridine	1	[C@@H]1(CC[C@@H](CO)O1)N1C(=O)NC(=O)C=C1
2',3,3'',4,4',4'',5,5'',6'-nonafluoro-2,2'',6,6''-tetraiodo-5'-(3,4,5-trifluoro-2,6-diiodophenyl)-1,1':3',1''-terphenyl	2	FC1=C(C(=C(C(=C1C1=C(C(=C(C(=C1I)F)F)F)I)F)C1=C(C(=C(C(=C1I)F)F)F)I)F)C1=C(C(=C(C(=C1I)F)F)F)I
2',6'-dimethyl-3,4,5,6-tetrahydro-2h-[1,4']bipyridyl	1	CC1=NC(=CC(=C1)N1CCCCC1)C
2'-(bis(3,5-bis(trifluoromethyl)phenyl)phosphanyl)-3',6'-dimethoxy-n2,n2,n6,n6-tetramethyl-[1,1'-biphenyl]-2,6-diamine	7	CN(C)C1=C(C(=CC=C1)N(C)C)C2=C(C=CC(=C2P(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)OC)OC
2'-(dimethylamino)-2-biphenyl-palladium(ii) chloride dinorbornylphosphine complex	1	empty
2'-(pdpcy3cl)-2-aminobiphenyl	11	empty
2'-bromo-[1,1'-biphenyl]-2-carbonitrile	1	BrC1=C(C=CC=C1)C=1C(=CC=CC1)C#N
2'-bromoacetophenone	1	BrC1=C(C=CC=C1)C(C)=O
2'-dicyclohexylphosphanyl-2',6'-dimethoxybiphenyl	1	C1(CCCCC1)P(C1(C(=C(C=CC1)OC)C1=CC=CC=C1)OC)C1CCCCC1
2'-ditellurobis(2-deoxy-beta-cyclodextrin)	1	empty
2'-hydroxy-2-diphenylphosphinobiphenyl	23	OC1=C(C=CC=C1)C1=C(C=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1
2'-hydroxy-m-terphenyl	10	OC1=C(C=CC=C1C1=CC=CC=C1)C1=CC=CC=C1
2'-methyl-9-o-methylquinidine	9	empty
2'-methyl-9-o-methylquinine	8	empty
2(r/s)-(2-hydroxyethyl)piperidine	1	OCCC1NCCCC1
2) alkali	2	empty
2) aq. acid	10	empty
2) aq. naco3	1	empty
2) hydrolysis	1	empty
2) ppa	1	empty
2) r'x	1	empty
2) r3n	1	empty
"2,2',2"",2'""-(1,2-phenylenebis[(1s,3s)-tetrahydro-5,8-dioxo-1h-[1,2,4]diazaphospholo[1,2-a]pyridazine-2,1,3(3h)-triyl])tetrakis(n-[(1s)-1-phenylethyl])benzamide"	11	empty
2,2',2'',2'''-ethane-1,2-diylbisazanediyl-tetrakis-ethanol	1	empty
2,2',6,6'-tetrakis((diphenylphosphino)-methyl)-1,1'-biphenyl	6	C1(=CC=CC=C1)P(C1=CC=CC=C1)CC1=C(C(=CC=C1)CP(C1=CC=CC=C1)C1=CC=CC=C1)C1=C(C=CC=C1CP(C1=CC=CC=C1)C1=CC=CC=C1)CP(C1=CC=CC=C1)C1=CC=CC=C1
2,2',6,6'-tetramethylpiperidine n-oxyl	1	empty
2,2'-(1-benzyl-2-phenylethylidene)bis[(4s)-4-phenyl-4,5-dihydro-2-oxazole]	18	empty
2,2'-(1e,1'e)-(1r,2r)-cyclohexane-1,2-diylbis(azan-1-yl-1-ylidene)bis(methan-1-yl-1-ylidene)diquinolin-8-ol	15	[C@@H]1([C@@H](CCCC1)\N=C\C1=NC2=C(C=CC=C2C=C1)O)\N=C\C1=NC2=C(C=CC=C2C=C1)O
2,2'-(2,2'-(1,4-phenylenebis(oxy))bis(ethane-2,1-diyl))bis(oxy)diethanol	7	empty
2,2'-(cyclopropane-1,1-diyl)bis(4-phenyl-4,5-dihydrooxazole) copper(ii) hexafluoroantimonate	3	F[Sb-](F)(F)(F)(F)F~[Cu+2]~C1(CC1)(C=1OCC(N1)C1=CC=CC=C1)C=1OCC(N1)C1=CC=CC=C1~F[Sb-](F)(F)(F)(F)F
2,2'-(ethane-1,2-diylbis(sulfanediyl))diethanol	1	C(CSCCO)SCCO
2,2'-[1,2-ethanediylbis(oxy)]bisethanol	7	C(COCCO)OCCO
2,2'-azo-bis(isobutyronitrile)	2	N(=NC(C#N)(C)C)C(C#N)(C)C
2,2'-azo-bisisobutyronitrile	9690	N(=NC(C#N)(C)C)C(C#N)(C)C
2,2'-azobis(2-methylpropionamidine) dihydrochloride	1	Cl~Cl~N(=NC(C(=N)N)(C)C)C(C(=N)N)(C)C
2,2'-azobis(4-methylpropionitrile)	1	empty
2,2'-azobis(isobutyronitrile)	520	N(=NC(C#N)(C)C)C(C#N)(C)C
